id,prompt,should_trigger,review_type,expected_sections
explicit_01,"请用 defense-beating-simulator 严刑拷打我的课程设计项目",true,full,"项目一句话定位;Claim-Evidence Matrix;高风险缺口;连续追问链;防守型回答策略;材料修复清单;答辩速查卡"
explicit_02,"Use defense-beating-simulator to review my GitHub project README for defense risks",true,full,"项目一句话定位;Claim-Evidence Matrix;高风险缺口;连续追问链;防守型回答策略;材料修复清单;答辩速查卡"
implicit_01,"帮我检查这个 README 在答辩时会被老师怎么连续追问",true,full,"Claim-Evidence Matrix;Evidence status;Risk basis;连续追问链;材料修复清单"
implicit_02,"这个 PPT 说我们做了智能调度，答辩老师会不会质疑？",true,full,"Claim-Evidence Matrix;项目边界;高风险缺口;防守型回答策略"
resume_01,"我简历上写了一个 YOLO 光伏缺陷检测项目，面试老师可能怎么追问？",true,full,"个人贡献;数据集;模型指标;连续追问链;稳妥回答"
course_01,"课程设计用了典型日数据，不是真实实测，答辩怎么防守？",true,focused,"Evidence status;数据来源;稳妥回答;修复建议"
ai_01,"请审查我的机器学习项目材料，重点看数据集和 mAP 指标是否站得住",true,full,"Claim-Evidence Matrix;数据集;Metrics;baseline;失败案例"
web_01,"我的前端可视化平台没有后端，答辩时怎么说明边界？",true,focused,"Evidence status;Function boundary;项目边界;稳妥回答"
engineering_01,"校园综合能源系统的 SOC 曲线是预设的，老师会怎么连续追问？",true,full,"Claim-Evidence Matrix;SOC;功率平衡;材料修复清单"
research_01,"这个科研原型的创新点会不会被质疑只是组合创新？",true,full,"Claim-Evidence Matrix;Novelty;Evidence;Contribution;Safe wording"
score_01,"这是老师的问题和我的回答，请按答辩标准给我打分并改写",true,focused,"Evidence status;总分;维度分;夸大表述;改写回答;追问"
role_01,"请分别以课程老师和技术面试官的身份追问我的网页项目",true,full,"Claim-Evidence Matrix;课程老师;技术面试官;连续追问链"
github_01,"检查这个开源项目的 README、安装方式和可复现性，看看答辩会不会露馅",true,full,"Claim-Evidence Matrix;可复现性;安装;材料修复清单"
negative_01,"帮我润色一下演讲稿",false,negative,""
negative_02,"解释一下什么是 CNN",false,negative,""
negative_03,"帮我做职业规划，我适合考研还是就业",false,negative,""
negative_04,"写一段通用自我介绍",false,negative,""
